Lon,Lat,true_y,reference,y_hat
160.372,55.816,IAB,19963,OIB
160.376,55.814,IAB,19963,MORB
160.365,55.812,IAB,19963,MORB
160.409,55.786,IAB,19963,IAB
160.33,55.799,IAB,19963,OIB
160.33,55.801,IAB,19963,MORB
160.406,55.791,IAB,19963,MORB
160.277,55.864,IAB,19963,OIB
160.317,55.741,IAB,19963,OIB
160.092,55.738,IAB,19963,MORB
160.237,55.782,IAB,19963,IAB
160.462,55.896,IAB,19963,IAB
-121.852,48.715,IAB,19246,MORB
-121.735,48.638,IAB,19246,MORB
169.42,-19.52,IAB,19944,IAB
-72.119,-40.365,IAB,19945,MORB
-72.198,-40.375,IAB,19945,MORB
-71.989,-40.404,IAB,19945,MORB
-72.185,-40.381,IAB,19945,MORB
-72.165,-40.411,IAB,19945,MORB
-99.457,19.197,IAB,20034,OIB
-99.626,19.09,IAB,20034,MORB
-67.385,-26.334,IAB,17669,OIB
-177.87,-29.25,IAB,13460,OIB
-178.55,-30.22,IAB,20997,MORB
95.21,20.911,IAB,20049,MORB
95.21,20.911,IAB,20049,MORB
95.3,22.22,IAB,20049,MORB
95.3,22.22,IAB,20049,OIB
129.128,33.259,IAB,17263,IAB
129.08,33.054,IAB,17263,MORB
129.079,33.055,IAB,17263,OIB
128.7,32.715,IAB,17263,OIB
128.884,32.667,IAB,17263,MORB
128.873,32.673,IAB,17263,OIB
160.333,55.796,IAB,20025,MORB
160.248,55.758,IAB,20025,MORB
-69.175,-35.829,IAB,18602,IAB
-69.088,-36.005,IAB,18602,OIB
-69.614,-36.557,IAB,18602,OIB
-69.018,-37.304,IAB,18602,OIB
-68.976,-37.311,IAB,18602,MORB
-69.861,-36.753,IAB,18602,OIB
-69.841,-37.016,IAB,18602,MORB
-68.761,-35.514,IAB,18602,MORB
-28.158,38.434,OIB,18088,MORB
-28.3,38.47,OIB,18088,OIB
-28.3,38.47,OIB,18088,MORB
-28.3,38.47,OIB,18088,OIB
103.0,43.0,IAB,20304,OIB
103.0,43.0,IAB,20304,MORB
103.0,43.0,IAB,20304,MORB
138.63,36.78,IAB,20281,MORB
139.037,36.8,IAB,20281,MORB
139.021,37.31,IAB,20281,OIB
137.1,37.35,IAB,20281,MORB
137.1,37.35,IAB,20281,OIB
140.053,39.0,IAB,20281,MORB
138.286,37.17,IAB,20281,MORB
138.286,37.17,IAB,20281,OIB
138.354,37.13,IAB,20281,MORB
-61.0,14.5,IAB,15578,OIB
-71.82,-39.2,IAB,19914,MORB
-160.429,21.527,OIB,20348,IAB
158.07,53.93,IAB,4788,MORB
158.07,53.93,IAB,4788,MORB
158.07,53.93,IAB,4788,OIB
158.07,53.93,IAB,4788,MORB
158.07,53.93,IAB,4788,MORB
158.07,53.93,IAB,4788,MORB
158.07,53.93,IAB,4788,MORB
158.07,53.93,IAB,4788,MORB
158.07,53.93,IAB,4788,MORB
-16.0,31.0,OIB,4868,MORB
143.624,13.996,IAB,19118,IAB
143.488,13.769,IAB,19118,MORB
140.78,42.57,IAB,20470,IAB
140.78,42.57,IAB,20470,OIB
140.78,42.57,IAB,20470,MORB
-90.836,-0.215,OIB,20505,MORB
-90.572,-0.332,OIB,20505,MORB
-90.656,-0.34,OIB,20505,OIB
-90.83,-0.312,OIB,20505,OIB
-90.791,-0.324,OIB,20505,OIB
-90.589,-0.277,OIB,20505,MORB
-16.842,65.875,OIB,17670,MORB
-16.842,65.875,OIB,17670,OIB
-16.842,65.875,OIB,17670,MORB
-16.842,65.875,OIB,17670,OIB
-16.488,32.432,OIB,3348,MORB
-17.029,32.824,OIB,3348,IAB
14.63,40.88,IAB,20532,IAB
14.42,40.65,IAB,20532,OIB
-69.025,-34.25,IAB,20550,MORB
-68.557,-34.594,IAB,20550,MORB
-159.36,21.954,OIB,19774,OIB
-23.0,64.0,OIB,20722,MORB
-91.03,-0.78,OIB,600,MORB
-88.267,13.433,IAB,20726,MORB
-88.267,13.433,IAB,20726,MORB
-123.777,48.064,IAB,20854,OIB
-123.393,47.454,IAB,20854,MORB
-123.639,48.357,IAB,20854,OIB
-123.283,43.234,IAB,20854,MORB
-123.183,43.544,IAB,20854,MORB
-123.367,44.931,IAB,20854,MORB
-69.332,-36.297,IAB,20645,MORB
160.792,56.153,IAB,21026,OIB
160.797,56.14,IAB,21026,MORB
160.824,56.108,IAB,21026,OIB
160.836,55.991,IAB,21026,MORB
175.64,-39.33,IAB,21089,OIB
-86.0,11.5,IAB,12753,OIB
97.128,-32.227,MORB,5169,MORB
-87.005,12.692,IAB,20782,MORB
-97.13,19.15,IAB,5159,MORB
128.919,32.596,IAB,20942,MORB
128.919,32.596,IAB,20942,OIB
-30.728,-56.538,IAB,5179,OIB
-29.87,-60.2,IAB,5179,MORB
130.835,42.701,IAB,21274,IAB
130.61,31.65,IAB,3504,MORB
130.59,31.76,IAB,3504,IAB
-160.23,22.092,OIB,19774 ,OIB
160.63,56.05,IAB,4276,OIB
134.0,34.0,IAB,20799,MORB
160.764,56.142,IAB,4276,MORB
-61.75,12.25,IAB,21487,MORB
-61.75,12.25,IAB,21487,IAB
-61.75,12.25,IAB,21487,OIB
143.78,12.26,IAB,21502,OIB
-173.73,-15.85,IAB,21408,OIB
-173.73,-15.85,IAB,21408,MORB
-176.2,-22.33,IAB,21408,MORB
-139.529,-8.932,OIB,21614,MORB
-138.877,-9.765,OIB,21614,MORB
8.392,40.34,IAB,21641,MORB
8.392,40.34,IAB,21641,IAB
8.392,40.34,IAB,21641,MORB
8.392,40.34,IAB,21641,OIB
8.392,40.34,IAB,21641,MORB
8.392,40.343,IAB,21641,MORB
15.21,38.79,IAB,4370,OIB
15.21,38.79,IAB,4924,OIB
-69.575,18.834,IAB,21730,OIB
55.447,-21.129,OIB,22678,OIB
169.152,-77.498,OIB,21878,MORB
169.135,-77.503,OIB,21878,OIB
168.855,-77.506,OIB,21878,MORB
168.855,-77.506,OIB,21878,OIB
168.638,-77.467,OIB,21878,MORB
166.868,-77.291,OIB,21878,OIB
-16.9,65.82,OIB,4593,MORB
-16.97,65.8,OIB,4593,IAB
-16.97,65.8,OIB,4593,OIB
-16.97,65.8,OIB,4593,MORB
-177.862,-18.568,IAB,3056,MORB
-16.97,65.8,OIB,4593,MORB
-177.303,-18.501,IAB,3056,OIB
-176.5,-20.142,IAB,3056,MORB
-176.823,-20.222,IAB,3056,MORB
-176.823,-20.222,IAB,3056,MORB
-16.97,65.8,OIB,4593,MORB
-176.775,-20.709,IAB,3056,MORB
169.0,-77.5,OIB,21878,MORB
168.0,-77.0,OIB,21878,MORB
168.0,-77.0,OIB,21878,MORB
168.0,-77.0,OIB,21878,OIB
144.479,19.425,IAB,20498,MORB
143.931,20.289,IAB,20498,IAB
-176.567,-18.973,IAB,6407,OIB
-175.993,-19.688,IAB,6407,OIB
-176.133,-20.057,IAB,6407,OIB
-176.217,-19.072,IAB,6407,MORB
138.0,36.5,IAB,3511,OIB
138.0,36.5,IAB,3511,MORB
138.0,36.5,IAB,3511,MORB
138.0,36.5,IAB,3511,IAB
55.795,-21.279,OIB,20331,MORB
-149.45,-23.38,OIB,2662,OIB
-149.45,-23.38,OIB,2662,IAB
-149.45,-23.38,OIB,2662,MORB
-5.7,-15.95,OIB,9391,MORB
-72.909,-50.954,IAB,22118,MORB
-72.884,-50.977,IAB,22118,MORB
-72.894,-50.979,IAB,22118,OIB
-72.898,-50.99,IAB,22118,MORB
-72.902,-50.948,IAB,22118,MORB
-73.115,-51.052,IAB,22118,OIB
-73.096,-51.081,IAB,22118,MORB
-73.197,-50.971,IAB,22118,MORB
-73.181,-50.994,IAB,22118,MORB
-73.181,-50.994,IAB,22118,IAB
-73.094,-51.049,IAB,22118,OIB
-73.094,-51.05,IAB,22118,IAB
-73.083,-51.048,IAB,22118,MORB
-72.989,-50.934,IAB,22118,MORB
-72.955,-51.011,IAB,22118,MORB
-72.876,-50.968,IAB,22118,IAB
-9.92,-40.333,OIB,528,MORB
-9.925,-40.32,OIB,23083,OIB
-9.925,-40.32,OIB,528,MORB
-175.298,-23.346,IAB,3669,MORB
-179.017,-30.575,IAB,6185,IAB
-177.92,-29.27,IAB,6185,IAB
-12.3,-37.2,OIB,9391,MORB
-12.3,-37.2,OIB,9391,MORB
-12.3,-37.2,OIB,9391,IAB
-12.3,-37.2,OIB,9391,OIB
-12.3,-37.2,OIB,9391,OIB
-9.92,-40.32,OIB,9391,MORB
-9.92,-40.32,OIB,9391,MORB
-9.92,-40.32,OIB,9391,MORB
-151.5,-16.5,OIB,2662,MORB
-16.844,28.311,OIB,1501,OIB
-26.583,-58.95,IAB,2193,MORB
-57.0,-62.1,IAB,6190,MORB
-59.9,-62.8,IAB,6190,IAB
-58.4,-62.4,IAB,6190,OIB
-58.4,-62.4,IAB,6190,MORB
140.988,27.011,IAB,22497,OIB
159.6,54.07,IAB,22560,MORB
159.6,54.07,IAB,22560,OIB
-121.159,43.906,IAB,13085,MORB
-122.106,44.172,IAB,13085,MORB
143.46,43.982,IAB,19410,OIB
140.818,27.34,IAB,22607,OIB
140.818,27.34,IAB,22607,MORB
-178.55,-30.22,IAB,6437,OIB
-178.55,-30.22,IAB,6437,IAB
-122.172,46.229,IAB,22652,MORB
-122.233,46.215,IAB,22652,MORB
-122.166,46.223,IAB,22652,OIB
-122.166,46.223,IAB,22652,OIB
-91.35,-0.87,OIB,7414,MORB
160.63,56.05,IAB,22592,OIB
15.21,38.79,IAB,4923 ,OIB
-176.133,-20.057,IAB,6407 ,MORB
-121.282,46.392,IAB,22539,MORB
-121.277,46.434,IAB,22539,OIB
-121.277,46.432,IAB,22539,OIB
-121.277,46.432,IAB,22539,OIB
142.257,28.427,IAB,22853,MORB
142.257,28.427,IAB,22853,MORB
-121.205,43.873,IAB,22162,IAB
-121.121,43.651,IAB,22162,MORB
55.73,-21.24,OIB,22897,MORB
55.85,-21.0,OIB,22897,MORB
2.985,-29.071,MORB,2379,OIB
9.386,-19.188,MORB,1253,OIB
-170.7,-14.3,OIB,22929,MORB
-170.7,-14.3,OIB,22929,MORB
-170.7,-14.3,OIB,22929,OIB
-170.7,-14.3,OIB,22929,IAB
-170.7,-14.3,OIB,22929,IAB
-170.7,-14.3,OIB,22929,IAB
139.52,34.08,IAB,6564,IAB
139.52,34.08,IAB,6564,OIB
139.52,34.08,IAB,6564,IAB
55.682,-21.656,OIB,6235,OIB
55.662,-21.538,OIB,6235,IAB
55.648,-21.614,OIB,6235,MORB
55.646,-21.595,OIB,6235,IAB
55.646,-21.595,OIB,6235,OIB
-122.193,43.022,IAB,4450,MORB
142.754,28.45,IAB,23023,MORB
142.754,28.45,IAB,23023,OIB
142.754,28.45,IAB,23023,MORB
142.754,28.45,IAB,23023,MORB
142.754,28.45,IAB,23023,MORB
169.512,-18.129,IAB,21889,IAB
-98.056,19.847,IAB,22132,OIB
-71.37,-37.38,IAB,23172,MORB
-71.66,-39.34,IAB,21041,OIB
-71.66,-39.34,IAB,21041,MORB
-71.66,-39.34,IAB,21041,MORB
-71.84,-39.35,IAB,21041,MORB
-71.79,-39.22,IAB,21041,MORB
-71.79,-39.22,IAB,21041,MORB
-71.79,-39.22,IAB,21041,IAB
-71.79,-39.22,IAB,21041,IAB
-71.79,-39.22,IAB,21041,OIB
-14.0,28.4,OIB,23264,MORB
-68.852,12.105,IAB,21047,OIB
161.4,56.65,IAB,23355,OIB
161.4,56.65,IAB,23355,MORB
-68.112,-35.198,IAB,23382,IAB
-86.3,12.3,IAB,23384,IAB
144.758,18.178,IAB,23441,MORB
160.337,55.789,IAB,23448,MORB
-168.031,53.932,IAB,23519,MORB
-168.031,53.932,IAB,23519,OIB
-168.031,53.932,IAB,23519,MORB
-168.031,53.932,IAB,23519,IAB
-168.032,53.933,IAB,23519,MORB
-68.842,-34.478,IAB,20802,MORB
-138.54,-22.29,OIB,23589,OIB
-138.54,-22.29,OIB,23589,MORB
-138.54,-22.29,OIB,23589,OIB
-169.465,-14.217,OIB,6967,MORB
-169.477,-14.216,OIB,6967,OIB
-169.436,-14.213,OIB,6967,MORB
